,Names,Month,Link,Description
10,Google Summer of Earth Engine,March,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---google-summer-of-earth-engine-,"Google Summer of Earth Engine is a research program for Indian university students & researchers to get a chance to work with leading research organizations in the country working in environment, conservation, water resources and agricultural domains over 3 months of summer on a project and get paid to do so!
This program is based on the Google Summer of Code model."
11,Rails Girls Summer of Code,March,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---rails-girls-summer-of-code-,"Rails Girls Summer of Code is a global fellowship program for women and non-binary coders. Students receive a three-month scholarship to work on existing Open Source projects and expand their skill set."
12,Linux Kernel Mentorship Program,March,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#4---linux-kernel-mentorship-program-,"The Linux Kernel Mentorship Program offers a structured remote learning opportunity to aspiring Linux Kernel developers. Experienced Linux Kernel developers and maintainers mentor volunteer mentees and help them become contributors to the Linux Kernel.
The Linux Kernel Mentorship Program includes three 12-week, full-time volunteer mentee positions, and two 24-week part-time volunteer mentee positions each year. Please check the Summer 2020 Linux Kernel Mentorship Program and get started. This is a remote opportunity and there is no need to relocate or move to participate."
13,Free Software Foundation,March,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#5---free-software-foundation-,"This is an educational opportunity to work with the organization that sponsors the GNU Project, publishes the GNU General Public License (GPL), and fights for software freedom.
"
14,Linux Foundation Networking Mentorship,March,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#6----linux-foundation-networking-mentorship-,"The LF Networking (LFN) intern/mentorship program is aimed at creating a structured hands-on learning opportunity for new developers who may otherwise lack the opportunity to gain exposure to open source software development and entry to the LFN projects' technical communities.
Each mentee will apply and be matched with a mentor or mentors who are active developers and technologists contributing to the industry's leading open source networking projects such as ONAP, OPNFV, OpenDaylight, FD.io. Each mentee will work remotely from his/her location of choice."
15,RARE Technologies Student Incubator Programme,April,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---rare-technologies-student-incubator-programme-,"Our student Incubator offers a unique mix of academic mentorship, hand-on project work and technical training. It is a highly selective program where you will be mentored by an industry expert as you develop a pragmatic solution to a real-world problem using machine learning."
16,Igalia Web Engines Hackfest,April,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---igalia-web-engines-hackfest-,"Igalia has been hosting the Web Engines Hackfest every year since 2009. And every year the event has grown bigger, with an increasing number of participants and broader areas of interest."
17, BOSS - Bountiful Open Source Summer,April,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---boss---bountiful-open-source-summer-,"Each year we teach hundreds of students coding, programming and software development. Over the past five years (we started off in April 2014), we have helped more than 3000 students gain expertise in Android, Web, Data Science and more.
BOSS 2019 is open to any Indian Student. You could be a student enrolled in any school or a college or university."
18,Season of Docs,May,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---season-of-docs- ,"Google Season of Docs is a program giving technical writers an opportunity to contribute to open source projects, by paying them a three month stipend and facilitating connections between writers and projects. As a platform that’s all about supporting the open source community, we think this is fantastic, because a lot of open source projects really need documentation help."
19,ESA Summer of Code in Space,May,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2--esa-summer-of-code-in-space-,"ESA Summer of Code in Space (SOCIS) is a program run by the European Space Agency that focuses on bringing student developers into open source software development for space applications. Students work with a mentoring organization (with potential support from ESA experts) on a 3 month programming project during their summer break."
20,OSS World Challenge,May,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---oss-world-challenge-,"Open Source Software World Challenge is an annual competition hosted by the Ministry of Science, ICT and Future Planning of Korea.
Open to anyone national interested in open source software. >- Bring together the gems of open source developers to cultivate developing-skills through cooperated projects which will eventually expand the open source minds/spirit and practices among community."
21,ACM MM Open Source Software Competition,May,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#4---acm-mm-open-source-software-competition-,"The Open Source Software Competition is an important part of the ACM Multimedia program. The competition, now in its 17th edition, is intended to celebrate, encourage and promote the contribution of researchers, software developers and educators to advance the field by providing the community with implementations of codecs, middleware, frameworks, toolkits, libraries, multimedia players, applications, authoring tools, and other multimedia software."
22,MLH Fellowship,May,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#5---mlh-fellowship-,"The MLH Fellowship is an internship alternative for software engineers. Instead of working on a project for just one company, you'll contribute to Open Source projects that are used by companies around the world. You'll collaborate with a group of 10 students under the guidance of a professional mentor whose only job is to help you successfully contribute."
23,Jenkins UI/UX Hackfest,May,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#6---jenkins-uiux-hackfest-,"UI/UX Online Hackfest is an online event. The goal to improve the Jenkins user experience, including but not limited to user interface and documentation. We also invite participants to share experiences about Jenkins and to participate in UX testing. The event will have the Jenkins is the Way theme. The most active contributors will get special edition swag and other prizes, see below"
24,Linux Kernel Mentorship Programlink,June,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---linux-kernel-mentorship-programlink-,"The Linux Kernel Mentorship Program offers a structured remote learning opportunity to aspiring Linux Kernel developers. Experienced Linux Kernel developers and maintainers mentor volunteer mentees and help them become contributors to the Linux Kernel."
25,PClub Summer Of Code,June,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---pclub-summer-of-code-,"PClub Summer of Code is the 2 month long Open Source program during summers conducted by Programming Club, UIET, with an aim to help beginners get started with Open Source Development while encouraging diversity.
PSoC is targeted at audience who want to dwell in OpenSource Development as well as who are already into FOSS development. This program will help students for other opensource programs like Gsoc, Outreachy, etc."
26,Summer ISCAS Open Source Promotion Plan,June,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---summer-iscas-open-source-promotion-plan-,"Open Source Promotion Plan is 3 month long Open Source Program during Summer conducted by ISCAS, China. having the aim of to encourages everyone to pay close attention to open source software and open source community, aiming to cultivate and explore more outstanding developers.
This is a good alternative to Google Summer of Code."
27,Alibaba Summer of Code,July,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---alibaba-summer-of-code-,"Alibaba Summer of Code is a global program focused on engaging students directly into open source software development. Under the guidance of the mentor in the Alibaba open source project, students experience the software development in the real world.
On this exclusive developer journey, students will have the opportunity to: Participate in the top projects of the International Open Source Foundation, Get a fast pass of Alibaba Internship/recruitment."
28,InOut Hackathon,August,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---inout-hackathon-,"InOut prides itself on being India’s biggest community hackathon.
Since its inception in 2015, InOut has been a platform where technology leaders and the brightest minds come together to collaborate on building tools that solve real problems."
29,CodeHeat Coding Contest of FOSSASIA,September,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---codeheat-coding-contest-of-fossasia-,"In the Heat of the Code is a coding contest for FOSSASIA projects on GitHub.
The contest runs until February. Grand prize winners will be invited to present their work at the FOSSASIA OpenTechSummit in Singapore in March and will get up to 600 SGD in travel funding to attend, plus a free speaker ticket.
Other participants will have the chance to win Tshirts, Swag and vouchers to attend Open Tech events in the region and will get certificates of participation."
30,MDG Season of Code- IIT-R,September,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---mdg-season-of-code--iit-r-,"MDG is an active student group of IIT Roorkee directing its efforts towards creating useful mobile applications and promoting tech-based learning for the same.
Perks - Direct Interview, Mentorship from MDG, T-Shirts and Goodies"
31,Semester Long Project- DAIICT,September,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---semester-long-project--daiict-,"SLoP or Semester Long Project is an initiative by the Developer Student Club (DA-IICT), exclusively for students who are new to open source software development to get started with open source contributions.
Objective is to increase the development culture and involvement of students with open-source technologies which will present the benefits of open source as well as introduce them to the cutting edge tech and coding practices."
32,Hacktoberfest,October,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---hacktoberfest-,"Hacktoberfest is a month-long celebration of open source software run by DigitalOcean and DEV. Hacktoberfest is open to everyone in our global community. To participate, four pull requests must be submitted to public GitHub repositories. You can sign up anytime between October 1 and October 31."
33,Pycon,October,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---pycon-,"Pycon is the premier conference in India on using and developing the Python programming language."
34,Linux Kernel Mentorship Programlink,October,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---linux-kernel-mentorship-programlink-,"The Linux Kernel Mentorship Program offers a structured remote learning opportunity to aspiring Linux Kernel developers. Experienced Linux Kernel developers and maintainers mentor volunteer mentees and help them become contributors to the Linux Kernel."
35,Halite AI Bot Challenge,October,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#4---halite-ai-bot-challenge-,"Halite is an artificial intelligence challenge, created by Two Sigma. Participants code bots using the programming language of their choice to compete in an original online multiplayer game."
36,NJACK Winter of Code,October,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#5---njack-winter-of-code-,"NJACK Winter of Code is an initiative by NJACK, IIT Patna, targeted at students who have never participated in Free or Open Source Software (FOSS) development before, as well as at those who have already become an expert in Open Source Development and are currently contributing to projects of any domain, say Web, Mobile, Machine Learning, Blockchain, IoT etc."
37,I_Hack (IIT-B),November,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---i_hack-iit-b-,"At I_Hack, we bring together India’s best coders, developers, designers, innovators, creators and entrepreneurs of tomorrow. I_Hack is geared up for those who are passionate about building, designing and innovating. It is a 30 Hr event where the enthusiasts meet, develop and compete in the product prototyping competition.
I_Hack comprises of 3 parallel tracks : BLOCKCHAIN TRACK, SOFTWARE TRACK, DATA TRACK."
38,SIH (Smart India Hackathon),December,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#1---sih-smart-india-hackathon---linkedin,"World’s Biggest Hackathon and Open Innovation model, an initiative by Ministry of HRD 4th edition of highly successful.
Smart India Hackathon initiative Involves 2 Lakh+ students with 57,000+ ideas from 2200+ institutions against 530+ problem statements provided by 120+ organizations from across India. Be part of World’s biggest Open Innovation Movement Opportunity to work with some of the best talents in the country."
39,KWoC (Kharagpur Winter of Code),December,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#2---kwoc-kharagpur-winter-of-code-,"Kharagpur Winter of Code is a 5-week long online programme for students who are new to open source software development. The programme not only helps students to get involved in open-source, but also prepares them for many open-source summer programmes; Google Summer of Code being one of them. The program is hosted by Kharagpur Open Source Society an independent student group at IIT Kharagpur, but is open to students of any university."
40,KDE Student Programs,December,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#3---kde-student-programs-,"Focused on offering an opportunity to anyone (not just enrolled students) contributing to the KDE community, this is a program that is comparable to the well-known Google Summer of Code, with some special differences.
A key difference is that SoK projects are not limited to code-focused work, but any that benefit our community. For instance, projects can be about documentation, reports, translation, system administration, web and other types of work including code as well"
41,24 Pull Requests,December,https://github.com/gdscigdtuw/Open-Source-Projects-and-Hackathons#4---24-pull-requests-,"24 Pull Requests goal is to encourage contribution to open source projects during December. The site suggests open projects, highlights tickets that are good for new contributors, provides guides for contributing and promotes good contributions submitted each day.
The idea is simple: 'Send 24 pull requests between December 1st and December 24th', encouraging contributors to give back to open source projects with little gifts of code throughout December."

